"ID","ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
3511,86,"putumayo",86573,"puerto leguizamo",86573009,"piñuña negro (puerto leguizamo - putumayo)",2020,10,3811,2158,288,"sabado","2020-10-24T20:45",6.08
3512,76,"valle del cauca",76109,"buenaventura",76109028,"puerto merizalde (buenaventura - valle del cauca)",2020,10,46035,16416,26858,"martes","2020-10-13T18:45",6.38
3513,76,"valle del cauca",76109,"buenaventura",76109032,"san francisco naya (buenaventura - valle del cauca)",2020,10,6099,2260,295,"martes","2020-10-20T19:00",7.49
3514,97,"vaupes",97161,"caruru",97161000,"caruru (caruru - vaupes)",2020,10,15372,3658,6723,"jueves","2020-10-29T19:15",10.31
3515,97,"vaupes",97001,"mitu",97001000,"mitu (mitu - vaupes)",2020,10,164425,62119,35660,"jueves","2020-10-29T00:00",24
3516,97,"vaupes",97666,"taraira",97666000,"taraira (taraira - vaupes)",2020,10,29164,9162,11704,"jueves","2020-10-29T00:30",10.15
3517,99,"vichada",99773,"cumaribo",99773000,"cumaribo (cumaribo - vichada)",2020,10,164425,62119,35660,"lunes","2020-10-26T23:45",23.59
3518,99,"vichada",99524,"la primavera",99524000,"la primavera (la primavera - vichada)",2020,10,164425,62119,35660,"viernes","2020-10-30T18:45",23.53
3519,99,"vichada",99001,"puerto carreño",99001002,"casuarito (puerto carreño - vichada)",2020,10,22272,8238,1093,"jueves","2020-10-29T19:30",8.43
3520,99,"vichada",99001,"puerto carreño",99001000,"puerto carreño (puerto carreño - vichada)",2020,10,164425,62119,35660,"viernes","2020-10-30T14:15",24
3521,99,"vichada",99624,"santa rosalia",99624000,"santa rosalia (santa rosalia - vichada)",2020,10,127636,62119,3492,"jueves","2020-10-15T19:30",16.16
3522,91,"amazonas",91001,"leticia",91001000,"leticia (leticia - amazonas)",2020,9,164425,62119,35660,"lunes","2020-09-14T14:30",24
3523,91,"amazonas",91540,"puerto nariño",91540000,"puerto nariño (puerto nariño - amazonas)",2020,9,100247,38233,2112,"jueves","2020-09-17T18:30",23.59
3524,91,"amazonas",91798,"tarapaca (anm)",91798000,"tarapaca (tarapaca (anm) - amazonas)",2020,9,22846,9724,8746,"viernes","2020-09-18T19:00",10.18
3525,5,"antioquia",5873,"vigia del fuerte",5873001,"san antonio de padua (vigia del fuerte - antioquia)",2020,9,3516,1303,3091,"lunes","2020-09-07T19:00",4.36
3526,5,"antioquia",5873,"vigia del fuerte",5873002,"vegaez (vigia del fuerte - antioquia)",2020,9,5574,814,4042,"martes","2020-09-01T18:30",7.27
3527,5,"antioquia",5873,"vigia del fuerte",5873000,"vigia del fuerte (vigia del fuerte - antioquia)",2020,9,97855,23445,27034,"lunes","2020-09-07T13:30",13.44
3528,88,"archipielago de san andres, providencia y santa catalina",88564,"providencia",88564000,"providencia (providencia - archipielago de san andres y providencia)",2020,9,164425,62119,35660,"miercoles","2020-09-09T14:15",24
