ID,ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
4247,44,la guajira,44847,uribia,44847012,nazareth (uribia - la guajira),2024,8,40008,8714,26736,sabado,2024-08-31T18:00,5.42
333,19,cauca,19418,lopez de micay,19418011,rio maya - dos quebradas (lopez de micay - cauca),2024,2,3041,1046,3277,viernes,2024-02-16T18:30,4.13
2078,19,cauca,19809,timbiqui,19809009,santa rosa de saija (timbiqui - cauca),2022,3,4009,2215,2537,miercoles,2022-03-23T19:15,6.24
752,27,choco,27495,nuqui,27495011,puerto jagua (nuqui - choco),2023,9,301,142,557,sabado,2023-09-09T20:15,7.11
721,88,"archipielago de san andres, providencia y santa catalina",88001,san andres,88001000,san andres (san andres - archipielago de san andres y providencia),2023,9,164425,62119,35660,viernes,2023-09-01T15:30,24.0
2678,27,choco,27077,bajo baudo (pizarro),27077000,pizarro (bajo baudo (pizarro) - choco),2021,8,164425,62119,35660,miercoles,2021-08-04T19:45,23.44
4377,27,choco,27077,bajo baudo,27077002,belen de docampado (bajo baudo - choco),2024,11,8356,2902,3606,sabado,2024-11-02T18:30,10.52
1611,19,cauca,19809,timbiqui,19809009,santa rosa de saija (timbiqui - cauca),2022,9,5128,2588,2434,domingo,2022-09-25T19:30,8.88
3579,52,nariño,52490,olaya herrera,52490913,boca de prieta (olaya herrera - nariño),2020,9,3110,766,2215,jueves,2020-09-03T19:00,7.02
1879,52,nariño,52473,mosquera,52473010,el bajito de echandia (mosquera - nariño),2022,6,2602,600,123,viernes,2022-06-17T18:15,8.38
2703,52,nariño,52250,el charco,52250007,san jose del tapaje (el charco - nariño),2021,8,16506,4140,88,sabado,2021-08-07T20:00,8.11
1540,19,cauca,19809,timbiqui,19809010,comunidad de chete (timbiqui - cauca),2022,10,3407,1172,2742,miercoles,2022-10-05T19:00,5.01
518,18,caqueta,18753,san vicente del caguan,18753033,villa lobos (san vicente del caguan - caqueta),2023,12,23077,9987,7302,viernes,2023-12-01T18:15,14.51
3115,52,nariño,52696,santa barbara (iscuande),52696014,la ensenada (santa barbara (iscuande) - nariño),2021,3,2743,2629,1878,miercoles,2021-03-31T20:15,6.0
734,19,cauca,19418,lopez de micay,19418015,san isidro (lopez de micay - cauca),2023,9,464,261,736,jueves,2023-09-30T18:30,5.13
2145,18,caqueta,18753,san vicente del caguan,18753009,puerto betania (san vicente del caguan - caqueta),2022,2,5180,2007,4804,lunes,2022-02-14T19:00,5.13
1323,27,choco,27006,acandi,27006000,acandi (acandi - choco),2023,1,164425,62119,35660,sabado,2023-01-28T20:30,23.24
2185,94,guainia,94001,inirida,94001000,inirida (inirida - guainia),2022,2,164425,62119,35660,martes,2022-02-22T18:00,24.0
3454,85,casanare,85430,trinidad,85430001,bocas del pauto (trinidad - casanare),2020,10,13318,7513,8992,jueves,2020-10-01T18:30,6.21
590,91,amazonas,91798,tarapaca (anm),91798000,tarapaca (tarapaca (anm) - amazonas),2023,11,27058,12193,10343,jueves,2023-11-02T14:45,10.1
2654,18,caqueta,18753,san vicente del caguan,18753015,guayabal (san vicente del caguan - caqueta),2021,8,6469,3127,3696,sabado,2021-08-14T18:30,7.09
446,50,meta,50325,mapiripan,50325000,mapiripan (mapiripan - meta),2024,3,164425,62119,35660,miercoles,2024-03-20T18:45,23.58
